Status,Type,Station name,Station address,LGA,Suburbs,Postcode,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Charger_capacities,Tesla,Type 2,J-1772,Geopoint,ObjId,EV Station ID,Google maps drive to
Existing,Destination charger,Ocular Charger 22 kWh Dual Charger charger,1 Ballingalla St Narooma NSW 2546,EUROBODALLA,Narooma,2546,-36.21880075,150.1385993,Open 24/7,,1,2,kW,0,2,0,-36.21880075,,,
Existing,Destination charger,Tumut River Brewing Co charger,1/5 Capper St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Yass Soldiers Club charger,86 Meehan St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Highfields Chalet charger,Avonside NSW 2628,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cobargo Coop charger,54 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Moama Bowling Club charger,7 Blair St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Harbourview House Bermagui charger,56-58 Lamont St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Eden Motel charger,87 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Fast charger,Taree South Service Centre charger,201 Manning River Dr,,,,,,,,,,,,,,,,,
Existing,Fast charger,HomeCo Bankstown charger,9-49 Chapel Road,,,,,,,,,,,,,,,,,
Existing,Fast charger,Kelly St Car Park charger,116 Liverpool St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Glenrock Gardens charger,84 Robinsons Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,Lightning Ridge Bowling Club charger,Lightning Ridge District Bowling Club,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Haven @ Arakoon charger,22 Rocks View Crescent,,,,,,,,,,,,,,,,,
Existing,Destination charger,Fitzroy Motor Inn charger,27 Fitzroy St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Lord St Car Park charger,35-39 Lord St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Kandos Museum charger,22 Buchanan St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Oakvale Wines charger,1596 Broke Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,EVX Dixon Park charger,Dixon Park Beach Carpark,NEWCASTLE,Merewether,2291,-32.94464453,151.7602472,Open 24/7,EVX,2,2,kW,0,2,0,-32.94464453,,,
Existing,Destination charger,Savannah Estate charger,402 Mount View Road Lot 211,,,,,,,,,,,,,,,,,
Existing,Destination charger,Novotel Newcastle Beach charger,5 King St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Speers Point Park charger,15 Park Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Old Maitland Inn charger,279 New England Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,4 Pines @ the Farm Bistro & Taproom charger,Corner Hermitage Rd & Mistletoe Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,Quest Orange charger,132 Kite Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Stockland Glendale - Commonwealth Bank charger,387 Lake Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Blacksmiths Beachside Holiday Park (Cabin 28 Booking Required) charger,30 Gommera St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Glenworth Valley Wilderness Adventures charger,69 Cooks Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,GT Tooling charger,34 Railway Rd S,,,,,,,,,,,,,,,,,
Existing,Destination charger,Woolworths North Parramatta charger,1-9 North Rocks Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,El Cortez Hotel charger,337 Canley Vale Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,2 Morton St Parramatta Apartments charger,2 Morton St,,,,,,,,,,,,,,,,,
Existing,Destination charger,mycar Tyre & Auto Parramatta charger,9A Aird St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sylvania BMW charger,101-107 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Roselands Shopping Centre charger,24 Roselands Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Italian Forum charger,32/23 Norton St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Brick Lane Apartments charger,55 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bow Charging - Balmain charger,3A Queens Pl,,,,,,,,,,,,,,,,,
Existing,Destination charger,Beyond Apartments charger,15 Jack Brabham Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Liverpool Street Gallery charger,243 Liverpool Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,One Chalmers charger,1-5 Chalmers Cres,,,,,,,,,,,,,,,,,
Existing,Destination charger,SIXT Domain Wooloomooloo charger,50 Sir John Young Cres,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sydney Markets charger,250-318 Parramatta Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,1 Quarry St Parking charger,1 Quarry St,,,,,,,,,,,,,,,,,
Existing,Destination charger,UKO Top Ryde charger,176 Blaxland Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,19A Sirius Rd Parking charger,19A Sirius Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Tramsheds Harold Park (1) charger,1 Dalgal Way,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mali Brae Farm charger,562 Nowra Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Old Nunnery Bed & Breakfast charger,27 Arthur Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Nowra Toyota charger,104 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Clonakilla Wines charger,3 Crisps Lane,,,,,,,,,,,,,,,,,
Existing,Destination charger,Discovery Parks Pambula Beach charger,1 Pambula Beach Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Post Office & Barn Tinkersfield charger,1 Post Office Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,Moama Riverside Holiday Park charger,Corner Cobb Hwy &,,,,,,,,,,,,,,,,,
Existing,Destination charger,ORANGEWOOD Holiday House charger,555 Tallwood Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Squatters Run Thredbo charger,24 Diggings Terrace,,,,,,,,,,,,,,,,,
Existing,Fast charger,Queen Street Carpark (Dorhauer Lane) charger,Dorhauer Lane,,,,,,,,,,,,,,,,,
Existing,Fast charger,Snowy River Ave Car Park charger,Corner of Snowy River Avenue and,,,,,,,,,,,,,,,,,
Existing,Fast charger,Sungrow Power Australia Warehouse charger,91 Victoria St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Crossroads Hotel (2) charger,2260 Camden Valley Wy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Moppett St Car Park (2) charger,406 Moppett St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Albacore Apartments charger,Market St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Coles Underground Parking charger,227 Railway Terrace,,,,,,,,,,,,,,,,,
Existing,Fast charger,Dan Murphy's Swansea charger,36 Josephson St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Donegal Farmstay charger,103 Sandy Flat Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Woodenbong Recreation Reserve charger,1 Unumgar St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Kyogle Museum charger,6 Roxy Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,Byron Palms Guesthouse charger,7 Browning St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Marvell Lane Studio charger,60 Massinger Street,BYRON,Byron Bay,2481,-28.647653,153.620656,Daylight hours only,,1,1,kW,1,0,0,-28.647653,,,
Existing,Destination charger,Casino RSM charger,162 Canterbury St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Armidale Motel charger,66 Glen Innes Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Harrington Hotel. charger,32 Beach St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Hibiscus Lakeside Motel charger,2 Diamond Head Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Petersons Wines charger,522 Mount View Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,NRMA Forster Tuncurry Holiday Park charger,1 Baird street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Tamburlaine Wines charger,Tamburlaine,,,,,,,,,,,,,,,,,
Existing,Destination charger,Matilda Motor Inn charger,231 Darling St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Chateau Elan at The Vintage Hunter Valley charger,786G+FJ Pokolbin NSW,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bluegum Dubbo Motel charger,109 Cobra St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Smith St Charlestown charger,33 Smith St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Victoria Theatre charger,8/10 Perkins St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Rydges Hunter Valley Carpark charger,430 Wine Country Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Blacksmiths Beachside Holiday Park (Cabin 29 Booking Required) charger,30 Gommera St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Hydro Majestic Hotel Blue Mountains charger,52-88 Great Western Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Seymour Residences Roseville charger,989 Pacific Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Birdsong Killcare AirBnB charger,36 Maitland Bay Drive,,,,,,,,,,,,,,,,,
Existing,Destination charger,Pandorea Schofields charger,26 Sutherland Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Schofields Village Shopping Centre - Coles (1) charger,227 Railway Terrace,,,,,,,,,,,,,,,,,
Existing,Destination charger,Campbell Street Parking charger,34-52  Campbell Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Jenolan Caves House charger,4654 Jenolan Caves Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,National Motor Racing Museum charger,400 Panorama Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Volvo Cars Liverpool charger,Sappho Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Camden Council - Oran Park charger,72 Central Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sutherland Shire Council charger,4 Eton St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bronte – Trafalgar St Parking charger,Cnr Trafalgar St & Pembroke St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Teachers Mutual Bank charger,28 Powell Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,1 - 3 Warners Avenue North Bondi Parking charger,1-3 Warners Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Pacific Bondi Beach charger,180 Campbell Parade,,,,,,,,,,,,,,,,,
Existing,Destination charger,Victoria Rd - Ashfield - Arc Renewable charger,9 Victoria St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Plunkett Street Parking charger,32 Chandos St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Delta Electronics Australia charger,Unit 18/39 Herbert Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,1 Georges Place Parking charger,Georges Place,,,,,,,,,,,,,,,,,
Existing,Destination charger,Figtree Grove Shopping Centre (1) charger,19 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Banksia Park cottages charger,114 Riadiata Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Worrigee Sports charger,131 Greenwell Point Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mittagong Visitor Information Centre charger,70 Main St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Ridgewaters Kiama charger,2 Surfleet Pl,,,,,,,,,,,,,,,,,
Existing,Destination charger,Park Ridge Retreat charger,139 Belinda St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Petrichor Farm charger,89 Haskins Way,,,,,,,,,,,,,,,,,
Existing,Destination charger,Adelaide Hotel Moruya charger,36-38 Vulcan St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cobargo Hotel-Motel charger,39-41 Princes Highway Cobargo NSW 2550,BEGA VALLEY,Cobargo,2550,-36.3892618,149.8862784,Open 24/7,SolarHub Charge,2,2,kW,0,2,0,-36.3892618,,,
Existing,Fast charger,NRMA - Karuah charger,403 Tarean Road,,,,,,,,,,,,,,,,,
Existing,Fast charger,Woolworths North Parramatta charger,1-9 North Rocks Road,,,,,,,,,,,,,,,,,
Existing,Fast charger,Ampol Foodary St Ives charger,164 Mona Vale Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Ampol Foodary Marsden Park charger,875 Richmond Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Leichhardt Marketplace charger,128 Flood Street,,,,,,,,,,,,,,,,,
Existing,Fast charger,Coonabarabran Visitors Centre charger,Coonabarabran Coach Stop,,,,,,,,,,,,,,,,,
Existing,Fast charger,Orange Civic Centre Car Park charger,151A Byng St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Walton Lane Car Park charger,5 Walton Lane,,,,,,,,,,,,,,,,,
Existing,Fast charger,Tenterfield Visitors Information Centre charger,157 Rouse Street,,,,,,,,,,,,,,,,,
